time,vel_theta1,vel_theta2,vel_d3,vel_theta4
223.543,-5.42657,-0.565798,1.09549,-4.15454
223.573,-5.42723,-0.552917,1.0887,-4.14475
223.603,-5.42751,-0.540226,1.082,-4.13494
223.633,-5.4274,-0.527724,1.0754,-4.12512
223.663,-5.42689,-0.515412,1.0689,-4.1153
223.693,-5.42599,-0.503288,1.06249,-4.10546
223.723,-5.4247,-0.491354,1.05618,-4.09561
223.754,-5.42295,-0.479221,1.04976,-4.08542
223.784,-5.42086,-0.467672,1.04364,-4.07556
223.814,-5.41839,-0.456311,1.03762,-4.06568
223.844,-5.41551,-0.44514,1.0317,-4.05578
223.874,-5.41225,-0.434159,1.02587,-4.04588
223.904,-5.4086,-0.423366,1.02014,-4.03597
223.934,-5.40455,-0.412763,1.0145,-4.02605
223.964,-5.40011,-0.402349,1.00896,-4.01612
223.994,-5.39528,-0.392124,1.00352,-4.00617
224.024,-5.39006,-0.382089,0.998169,-3.99622
224.054,-5.38445,-0.372242,0.992916,-3.98625
224.084,-5.37844,-0.362585,0.98776,-3.97628
224.114,-5.37204,-0.353118,0.9827,-3.96629
224.144,-5.36525,-0.343839,0.977736,-3.9563
224.174,-5.35807,-0.33475,0.972867,-3.94629
224.204,-5.3505,-0.325849,0.968095,-3.93627
224.234,-5.34254,-0.317139,0.963419,-3.92625
224.264,-5.33418,-0.308617,0.958839,-3.91621
224.294,-5.32543,-0.300284,0.954354,-3.90616
224.324,-5.31629,-0.292141,0.949966,-3.8961
224.354,-5.30676,-0.284187,0.945674,-3.88603
224.385,-5.2965,-0.276167,0.941339,-3.87561
224.415,-5.28617,-0.268598,0.937242,-3.86552
224.445,-5.27545,-0.261218,0.933241,-3.85542
224.475,-5.26434,-0.254027,0.929336,-3.84531
224.505,-5.25284,-0.247025,0.925527,-3.83518
224.535,-5.24094,-0.240213,0.921814,-3.82505
224.565,-5.22866,-0.23359,0.918197,-3.81491
224.595,-5.21598,-0.227156,0.914676,-3.80475
224.625,-5.20291,-0.220912,0.911251,-3.79459
224.655,-5.18945,-0.214856,0.907922,-3.78441
224.685,-5.17559,-0.20899,0.904689,-3.77423
224.715,-5.16135,-0.203313,0.901552,-3.76403
224.745,-5.14671,-0.197826,0.89851,-3.75382
224.775,-5.13168,-0.192527,0.895565,-3.7436
224.805,-5.11626,-0.187418,0.892716,-3.73337
224.835,-5.10044,-0.182498,0.889963,-3.72314
224.865,-5.08424,-0.177768,0.887306,-3.71289
224.895,-5.06764,-0.173226,0.884745,-3.70263
224.925,-5.05065,-0.168874,0.88228,-3.69236
224.955,-5.03327,-0.164711,0.879911,-3.68207
224.985,-5.0155,-0.160737,0.877638,-3.67178
225.016,-4.99673,-0.15683,0.87539,-3.66114
225.046,-4.97816,-0.153241,0.873312,-3.65082
225.076,-4.9592,-0.149841,0.87133,-3.6405
225.106,-4.93985,-0.14663,0.869444,-3.63016
225.136,-4.9201,-0.143609,0.867654,-3.61982
225.166,-4.89997,-0.140777,0.865961,-3.60946
225.196,-4.87944,-0.138134,0.864363,-3.5991
225.226,-4.85852,-0.13568,0.862861,-3.58872
225.256,-4.83721,-0.133416,0.861455,-3.57834
225.286,-4.81551,-0.131341,0.860145,-3.56794
225.316,-4.79341,-0.129455,0.858931,-3.55753
225.346,-4.77093,-0.127758,0.857813,-3.54711
225.376,-4.74805,-0.126251,0.856792,-3.53668
225.406,-4.72478,-0.124933,0.855866,-3.52624
225.436,-4.70112,-0.123804,0.855036,-3.51579
225.466,-4.67706,-0.122864,0.854302,-3.50533
225.496,-4.65262,-0.122113,0.853664,-3.49486
225.526,-4.62778,-0.121552,0.853122,-3.48438
225.556,-4.60255,-0.12118,0.852676,-3.47388
225.586,-4.57693,-0.120997,0.852326,-3.46338
