time,pos_x,pos_y,pos_z,pos_phi
63.101,229.578,96.3029,99.304,10
63.112,229.529,95.8373,99.216,10
63.123,229.48,95.3722,99.128,10
63.133,229.436,94.9497,99.048,10
63.144,229.389,94.4854,98.96,10
63.154,229.347,94.0637,98.88,10
63.165,229.302,93.6001,98.792,10
63.176,229.257,93.137,98.704,10
63.187,229.213,92.6743,98.616,10
63.197,229.174,92.2539,98.536,10
63.208,229.132,91.792,98.448,10
63.218,229.094,91.3723,98.368,10
63.229,229.053,90.9111,98.28,10
63.24,229.013,90.4503,98.192,10
63.251,228.974,89.9898,98.104,10
63.261,228.939,89.5716,98.024,10
63.272,228.902,89.1118,97.936,10
63.283,228.865,88.6525,97.848,10
63.294,228.829,88.1935,97.76,10
63.304,228.797,87.7766,97.68,10
63.315,228.763,87.3183,97.592,10
63.325,228.732,86.902,97.512,10
63.336,228.699,86.4444,97.424,10
63.347,228.667,85.9871,97.336,10
63.358,228.635,85.5302,97.248,10
63.368,228.608,85.1152,97.168,10
63.379,228.578,84.6589,97.08,10
63.389,228.551,84.2445,97,10
63.4,228.523,83.7889,96.912,10
63.411,228.495,83.3337,96.824,10
63.422,228.468,82.8787,96.736,10
63.432,228.445,82.4655,96.656,10
63.443,228.419,82.0112,96.568,10
63.453,228.397,81.5984,96.488,10
63.465,228.37,81.1035,96.392,10
63.476,228.347,80.6502,96.304,10
63.487,228.325,80.1972,96.216,10
63.498,228.303,79.7444,96.128,10
63.508,228.284,79.3331,96.048,10
63.519,228.263,78.881,95.96,10
63.529,228.245,78.4702,95.88,10
63.54,228.226,78.0186,95.792,10
63.551,228.208,77.5673,95.704,10
63.562,228.19,77.1163,95.616,10
63.572,228.175,76.7066,95.536,10
63.583,228.159,76.2561,95.448,10
63.593,228.144,75.8468,95.368,10
63.604,228.129,75.3969,95.28,10
63.615,228.115,74.9472,95.192,10
63.626,228.101,74.4978,95.104,10
63.636,228.09,74.0895,95.024,10
63.647,228.077,73.6406,94.936,10
63.658,228.066,73.192,94.848,10
63.669,228.054,72.7436,94.76,10
63.679,228.045,72.3362,94.68,10
63.69,228.035,71.8883,94.592,10
63.7,228.027,71.4814,94.512,10
63.711,228.018,71.0339,94.424,10
63.722,228.01,70.5868,94.336,10
63.733,228.003,70.1398,94.248,10
63.743,227.997,69.7337,94.168,10
63.754,227.99,69.2872,94.08,10
63.764,227.985,68.8815,94,10
63.775,227.98,68.4354,93.912,10
63.786,227.976,67.9895,93.824,10
63.797,227.972,67.5439,93.736,10
63.807,227.969,67.139,93.656,10
63.818,227.966,66.6938,93.568,10
63.828,227.964,66.2892,93.488,10
63.839,227.962,65.8444,93.4,10
63.85,227.961,65.3998,93.312,10
63.861,227.96,64.9554,93.224,10
63.871,227.96,64.5515,93.144,10
63.882,227.961,64.1075,93.056,10
63.892,227.961,63.704,92.976,10
63.903,227.963,63.2604,92.888,10
63.914,227.965,62.8169,92.8,10
63.925,227.967,62.3736,92.712,10
63.935,227.97,61.9708,92.632,10
63.946,227.973,61.5279,92.544,10
63.956,227.977,61.1254,92.464,10
63.967,227.981,60.6828,92.376,10
63.978,227.986,60.2404,92.288,10
63.989,227.991,59.7982,92.2,10
63.999,227.997,59.3963,92.12,10
64.01,228.003,58.9544,92.032,10
64.021,228.009,58.5127,91.944,10
64.031,228.016,58.1113,91.864,10
64.042,228.023,57.6699,91.776,10
64.052,228.03,57.2687,91.696,10
64.063,228.039,56.8276,91.608,10
64.074,228.048,56.3867,91.52,10
64.084,228.056,55.986,91.44,10
64.095,228.065,55.5453,91.352,10
64.105,228.074,55.1448,91.272,10
64.116,228.085,54.7045,91.184,10
64.126,228.094,54.3043,91.104,10
64.137,228.105,53.8642,91.016,10
64.147,228.116,53.4643,90.936,10
64.158,228.127,53.0245,90.848,10
64.168,228.138,52.6248,90.768,10
64.179,228.151,52.1853,90.68,10
64.19,228.163,51.7459,90.592,10
64.2,228.175,51.3466,90.512,10
64.211,228.189,50.9075,90.424,10
64.221,228.201,50.5084,90.344,10
64.232,228.215,50.0695,90.256,10
64.242,228.228,49.6707,90.176,10
64.253,228.243,49.2321,90.088,10
64.263,228.256,48.8335,90.008,10
64.274,228.271,48.3951,89.92,10
64.284,228.285,47.9968,89.84,10
64.295,228.301,47.5587,89.752,10
64.305,228.316,47.1605,89.672,10
64.316,228.332,46.7227,89.584,10
64.327,228.348,46.2849,89.496,10
64.337,228.363,45.8871,89.416,10
64.348,228.38,45.4496,89.328,10
64.358,228.396,45.052,89.248,10
64.369,228.413,44.6148,89.16,10
64.379,228.429,44.2174,89.08,10
64.39,228.447,43.7804,88.992,10
64.4,228.463,43.3832,88.912,10
64.411,228.481,42.9465,88.824,10
64.421,228.498,42.5495,88.744,10
64.432,228.517,42.113,88.656,10
64.443,228.535,41.6766,88.568,10
64.453,228.552,41.2799,88.488,10
64.464,228.571,40.8438,88.4,10
64.474,228.589,40.4474,88.32,10
