time,acc_theta1,acc_theta2,acc_d3,acc_theta4
63.647,-3.25173,6.32381,-1.58167e-14,3.07208
63.658,-3.22931,6.29179,-1.55822e-14,3.06248
63.669,-3.20689,6.25978,-1.53477e-14,3.05288
63.679,-3.18651,6.23067,-1.51346e-14,3.04416
63.69,-3.16409,6.19866,-1.49001e-14,3.03456
63.7,-3.14371,6.16955,-1.46869e-14,3.02584
63.711,-3.12129,6.13753,-1.44524e-14,3.01624
63.722,-3.09887,6.10552,-1.4218e-14,3.00664
63.733,-3.07646,6.0735,-1.39835e-14,2.99705
63.743,-3.05607,6.0444,-1.37703e-14,2.98832
63.754,-3.03365,6.01238,-1.35358e-14,2.97873
63.764,-3.01327,5.98328,-1.33227e-14,2.97
63.775,-2.99085,5.95126,-1.30882e-14,2.9604
63.786,-2.96843,5.91924,-1.28537e-14,2.95081
63.797,-2.94602,5.88723,-1.26192e-14,2.94121
63.807,-2.92563,5.85812,-1.24061e-14,2.93249
63.818,-2.90322,5.8261,-1.21716e-14,2.92289
63.828,-2.88283,5.797,-1.19584e-14,2.91417
63.839,-2.86041,5.76498,-1.1724e-14,2.90457
63.85,-2.838,5.73297,-1.14895e-14,2.89497
63.861,-2.81558,5.70095,-1.1255e-14,2.88537
63.871,-2.79519,5.67184,-1.10418e-14,2.87665
63.882,-2.77278,5.63983,-1.08074e-14,2.86705
63.892,-2.75239,5.61072,-1.05942e-14,2.85833
63.903,-2.72998,5.57871,-1.03597e-14,2.84873
63.914,-2.70756,5.54669,-1.01252e-14,2.83913
63.925,-2.68514,5.51467,-9.89075e-15,2.82954
63.935,-2.66476,5.48557,-9.67759e-15,2.82081
63.946,-2.64234,5.45355,-9.44311e-15,2.81122
63.956,-2.62195,5.42445,-9.22995e-15,2.80249
63.967,-2.59954,5.39243,-8.99547e-15,2.7929
63.978,-2.57712,5.36041,-8.76099e-15,2.7833
63.989,-2.5547,5.3284,-8.52651e-15,2.7737
63.999,-2.53432,5.29929,-8.31335e-15,2.76498
64.01,-2.5119,5.26728,-8.07887e-15,2.75538
64.021,-2.48948,5.23526,-7.84439e-15,2.74578
64.031,-2.4691,5.20615,-7.63123e-15,2.73706
64.042,-2.44668,5.17414,-7.39675e-15,2.72746
64.052,-2.4263,5.14503,-7.18359e-15,2.71874
64.063,-2.40388,5.11302,-6.94911e-15,2.70914
64.074,-2.38146,5.081,-6.71463e-15,2.69954
64.084,-2.36108,5.05189,-6.50147e-15,2.69082
64.095,-2.33866,5.01988,-6.26699e-15,2.68122
64.105,-2.31828,4.99077,-6.05382e-15,2.6725
64.116,-2.29586,4.95876,-5.81935e-15,2.6629
64.126,-2.27547,4.92965,-5.60618e-15,2.65418
64.137,-2.25306,4.89764,-5.3717e-15,2.64458
64.147,-2.23267,4.86853,-5.15854e-15,2.63586
64.158,-2.21025,4.83651,-4.92406e-15,2.62626
64.168,-2.18987,4.80741,-4.7109e-15,2.61753
64.179,-2.16745,4.77539,-4.47642e-15,2.60794
64.19,-2.14504,4.74338,-4.24194e-15,2.59834
64.2,-2.12465,4.71427,-4.02878e-15,2.58962
64.211,-2.10223,4.68225,-3.7943e-15,2.58002
64.221,-2.08185,4.65315,-3.58114e-15,2.57129
64.232,-2.05943,4.62113,-3.34666e-15,2.5617
64.242,-2.03905,4.59203,-3.13349e-15,2.55297
64.253,-2.01663,4.56001,-2.89901e-15,2.54338
64.263,-1.99625,4.5309,-2.68585e-15,2.53465
64.274,-1.97383,4.49889,-2.45137e-15,2.52505
64.284,-1.95345,4.46978,-2.23821e-15,2.51633
64.295,-1.93103,4.43777,-2.00373e-15,2.50673
64.305,-1.91065,4.40866,-1.79057e-15,2.49801
64.316,-1.88823,4.37664,-1.55609e-15,2.48841
64.327,-1.86581,4.34463,-1.32161e-15,2.47882
64.337,-1.84543,4.31552,-1.10845e-15,2.47009
64.348,-1.82301,4.28351,-8.73968e-16,2.46049
64.358,-1.80263,4.2544,-6.60805e-16,2.45177
