time,pos_x,pos_y,pos_z,pos_phi
226.217,233.446,-34.7467,81.0537,0.529907
226.247,233.363,-35.232,81.0278,0.503983
226.278,233.276,-35.7351,81.0006,0.47748
226.308,233.192,-36.2116,80.9746,0.452757
226.338,233.106,-36.6909,80.9482,0.428265
226.368,233.021,-37.1582,80.9221,0.404761
226.398,232.935,-37.6247,80.8958,0.381685
226.428,232.846,-38.0977,80.8687,0.358693
226.458,232.761,-38.5397,80.8431,0.337598
226.488,232.674,-38.9912,80.8167,0.316459
226.518,232.585,-39.4397,80.79,0.295879
226.548,232.497,-39.8844,80.7632,0.275899
226.578,232.407,-40.3246,80.7364,0.25656
226.608,232.314,-40.7759,80.7084,0.237192
226.638,232.228,-41.1851,80.6827,0.220059
226.668,232.138,-41.6101,80.6557,0.202732
226.698,232.047,-42.0301,80.6285,0.186077
226.728,231.957,-42.4429,80.6014,0.170184
226.758,231.865,-42.8517,80.5742,0.154933
226.788,231.774,-43.2559,80.5468,0.140354
226.818,231.682,-43.6583,80.5191,0.126354
226.848,231.59,-44.0507,80.4916,0.11322
226.879,231.494,-44.4547,80.4628,0.100248
226.909,231.401,-44.8432,80.4347,0.0883441
226.939,231.308,-45.224,80.4066,0.0772308
226.969,231.217,-45.5924,80.3789,0.0670393
226.999,231.123,-45.9617,80.3507,0.0574041
227.029,231.031,-46.3234,80.3225,0.0485563
227.059,230.937,-46.6838,80.2939,0.0403503
227.089,230.844,-47.035,80.2654,0.0329722
227.119,230.751,-47.3817,80.2367,0.0263218
227.149,230.657,-47.7275,80.2076,0.020344
227.179,230.564,-48.061,80.1788,0.0152368
227.209,230.47,-48.3951,80.1494,0.0108082
227.239,230.377,-48.7193,80.1202,0.0072048
227.269,230.284,-49.0386,80.0909,0.00436887
227.299,230.191,-49.3527,80.0613,0.00231078
227.329,230.098,-49.6621,80.0315,0.00103562
227.359,230.005,-49.9651,80.0016,0.000556784
227.389,229.912,-50.2606,79.9718,0.000874605
227.419,229.818,-50.5544,79.9417,0.00198469
227.449,229.725,-50.8379,79.9122,0.00390135
227.479,229.632,-51.1139,79.8829,0.00657155
227.51,229.534,-51.4012,79.8518,0.0102402
227.54,229.443,-51.6588,79.8235,0.0143851
227.57,229.349,-51.9186,79.7944,0.0194373
227.6,229.257,-52.1696,79.7657,0.0251927
227.63,229.163,-52.417,79.7369,0.0317627
227.66,229.07,-52.6583,79.7082,0.0390854
227.69,228.977,-52.8908,79.68,0.0470605
227.72,228.886,-53.1161,79.6522,0.0557171
227.75,228.791,-53.3444,79.6233,0.0654717
227.78,228.7,-53.5577,79.5958,0.0755511
227.81,228.607,-53.7702,79.5678,0.0865908
227.84,228.515,-53.9757,79.5401,0.0982809
227.87,228.424,-54.1735,79.5128,0.110559
227.9,228.332,-54.368,79.4853,0.12368
227.93,228.241,-54.5566,79.458,0.137489
227.96,228.15,-54.738,79.4311,0.151852
227.99,228.059,-54.917,79.4039,0.167157
228.02,227.97,-55.0867,79.3774,0.182799
228.05,227.88,-55.2537,79.3507,0.199358
228.08,227.791,-55.4144,79.3242,0.216487
228.11,227.702,-55.5704,79.2978,0.234336
228.141,227.611,-55.7249,79.2709,0.253292
228.171,227.523,-55.8704,79.2448,0.272469
228.201,227.435,-56.0106,79.2188,0.292253
228.231,227.347,-56.147,79.1928,0.312859
228.261,227.261,-56.2768,79.1672,0.333846
228.291,227.174,-56.4026,79.1415,0.355617
228.321,227.089,-56.5233,79.116,0.377964
228.351,227.004,-56.6386,79.0908,0.40082
228.381,226.919,-56.7499,79.0656,0.424421
228.411,226.835,-56.8556,79.0407,0.448422
228.441,226.75,-56.9588,79.0154,0.473524
228.471,226.667,-57.0556,78.9907,0.498778
228.501,226.585,-57.1476,78.9662,0.524534
228.531,226.503,-57.2367,78.9414,0.551298
228.561,226.422,-57.3195,78.9172,0.578058
228.591,226.341,-57.399,78.8929,0.605763
228.621,226.261,-57.4739,78.8688,0.63389
228.651,226.181,-57.5452,78.8446,0.662804
228.681,226.103,-57.6115,78.8208,0.691961
228.711,226.024,-57.6748,78.7967,0.722184
228.741,225.947,-57.7328,78.7732,0.75229
228.772,225.867,-57.7892,78.7488,0.784316
228.802,225.79,-57.8397,78.7253,0.815856
228.832,225.715,-57.8863,78.7019,0.847935
228.862,225.639,-57.929,78.6786,0.880501
228.892,225.564,-57.9682,78.6552,0.91388
228.922,225.491,-58.0031,78.6324,0.947204
228.952,225.417,-58.0347,78.6094,0.981387
228.982,225.345,-58.0624,78.5867,1.01575
229.012,225.274,-58.0865,78.564,1.05067
229.042,225.202,-58.1074,78.5412,1.08652
229.072,225.133,-58.1244,78.5192,1.12188
229.102,225.063,-58.1384,78.4966,1.1587
229.132,224.993,-58.149,78.474,1.19603
229.162,224.926,-58.1561,78.4521,1.23298
